1214: M110Z66
1402: M119C75
1403: M113U97, M114X25
1503: M109A77
1504: M101V78
1605: M120U53
1702: M114X70
1703: M107P79, M116A89
1802: M111V62, M119X22
1902: M115P88
1903: M104F73, M105U76
1904: M116Z46, M103Y11
1905: M111E30, M102S96, M111K40
2001: M104C44
2002: M101U74
2003: M103A52, M106D69, M108S40
2101: M121Y66
2102: M108G65
2103: M102P35, M102A61
2201: M108U21
2202: M105C38, M104R36
2203: M105T55
2302: M106K74
2303: M105U70, M115Y85, M112M91, M103V74
2401: M103H94, M108F55, M104W22
2402: M103Y99, M110D57, M103W44, M114Y74, M103M71, M120F30
2403: M108W47
