1214: M101V78
1402: M101R32, M112C66, M108G65
1403: M107P79, M116A89, M110E13
1703: M109A77, M101N86, M102T59, M105A13, M109Q80
1802: M107E62
1805: M115D72
1901: M103G85, M104U15
1903: M102G80, M113W66
1905: M105T55, M110D57
2001: M121Y66
2002: M106K59, M108J76
2003: M102P35, M102A61, M105C38, M105U76
2101: M107H67, M106U53, M103N43
2103: M109Y98, M113U97, M101N64, M107P80
2201: M103N27, M104C44
2202: M110E47, M101D50, M110N43, M114X25
2203: M117E47
2301: M109E19
2302: M106Q12, M108U21, M107T22
2303: M106D69, M104F73, M115Y15, M117V35
2401: M106K74
2402: M103A52
2403: M106W60
