ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M107J41, --, --, --, --, --, -- , GEN, false, PH327065-M1, 827, 24.33, --, --, --, 1605-2402-XXXX-1903-2003-2103-2303-XXXX-XXXX, PH:IITKgp:1605#PH:IITJ:2402#PH:IITK:1505#PH:IITBBS:1903#PH:IITGN:2003#PH:IITH:2103#PH:IITRPR:2303#PH:IITB:1212#PH:IITB:1213, 0, true, NA, NA, false
M112B14, --, --, --, --, --, -- , SC, false, GG801073-M2, 684, 25.67, --, --, --, XXXX-1602-1904-1801-1201-1905-1605, GG:IITB:1208#GG:IITKgp:1602#GG:IITBBS:1904#GG:IITR:1801#GG:IITB:1201#GG:IITBBS:1905#GG:IITKgp:1605, 0, true, NA, NA, false
M104P29, --, --, --, --, --, -- , ST, false, BT616182-M2, 1539, 14.33, --, --, --, 1802-1204, BT:IITR:1802#BT:IITB:1204, 0, true, NA, NA, false
M110R14, --, --, --, --, --, -- , SC, false, MA203095-M1, 2150, 16.33, --, --, --, XXXX-1206-1302-1702-2102-1902-2002-2203-1502-1603-1804-2403-1402-2301-1214-XXXX-1905, MA:IISc:1103#MA:IITB:1206#MA:IITD:1302#MA:IITM:1702#MA:IITH:2102#MA:IITBBS:1902#MA:IITGN:2002#MA:IITI:2203#MA:IITK:1502#MA:IITKgp:1603#MA:IITR:1804#MA:IITJ:2403#MA:IITG:1402#MA:IITRPR:2301#MA:IITB:1214#MA:IITB:1212#MA:IITBBS:1905, 0, true, NA, NA, false
M104U44, --, --, --, --, --, -- , OBC, false, MA326133-M1, 2014, 17, --, --, --, XXXX-1902-1206-1302-2002-1402-2102-2203-1502-1603-1702-1804-2301-2403, MA:IISc:1103#MA:IITBBS:1902#MA:IITB:1206#MA:IITD:1302#MA:IITGN:2002#MA:IITG:1402#MA:IITH:2102#MA:IITI:2203#MA:IITK:1502#MA:IITKgp:1603#MA:IITM:1702#MA:IITR:1804#MA:IITRPR:2301#MA:IITJ:2403, 0, true, NA, NA, false
M105D98, --, --, --, --, --, -- , GEN, false, BL319079-M0, 65, 49, BT319079-M0, 100, 31.67, 1101-1101-XXXX-XXXX, BT:IISc:1101#BL:IISc:1101#BT:IITB:1210#BL:IITB:1210, 0, true, NA, NA, false
M111H90, --, --, --, --, --, -- , GEN, false, BL102027-M1, 501, 32.33, --, --, --, 1101, BL:IISc:1101, 0, true, NA, NA, false
M110P11, --, --, --, --, --, -- , GEN, false, PH405165-M1, 1640, 18.33, --, --, --, XXXX-1903-1207-1303-2003-1403-2103-2202-1503-XXXX-1905-XXXX-XXXX-1215-1216-1604-1703-2303-2402, PH:IISc:1104#PH:IITBBS:1903#PH:IITB:1207#PH:IITD:1303#PH:IITGN:2003#PH:IITG:1403#PH:IITH:2103#PH:IITI:2202#PH:IITK:1503#PH:IITK:1505#PH:IITBBS:1905#PH:IITB:1212#PH:IITB:1213#PH:IITB:1215#PH:IITB:1216#PH:IITKgp:1604#PH:IITM:1703#PH:IITRPR:2303#PH:IITJ:2402, 0, true, NA, NA, false
M103K94, --, --, --, --, --, -- , GEN, false, GG508087-M2, 328, 40.67, --, --, --, 1201-1801-1904-XXXX-1602-1605, GG:IITB:1201#GG:IITR:1801#GG:IITBBS:1904#GG:IITB:1208#GG:IITKgp:1602#GG:IITKgp:1605, 0, true, NA, NA, false
M111B46, --, --, --, --, --, -- , GEN, false, MA103111-M1, 706, 27, --, --, --, 1214-1206-XXXX-1302-1702-XXXX-2002-2102-2203-1603-1804-XXXX-1101-1902-1905-1402-1502-2301-2403, MA:IITB:1214#MA:IITB:1206#MA:IISc:1103#MA:IITD:1302#MA:IITM:1702#MA:IITB:1213#MA:IITGN:2002#MA:IITH:2102#MA:IITI:2203#MA:IITKgp:1603#MA:IITR:1804#MA:IITB:1212#MA:IISc:1101#MA:IITBBS:1902#MA:IITBBS:1905#MA:IITG:1402#MA:IITK:1502#MA:IITRPR:2301#MA:IITJ:2403, 0, true, NA, NA, false
