ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M103A86, CY, 1501, GEN, 1, 5, 80, GEN, false, CY607062-M2, 5, 80, --, --, --, 1501-1601-1205-1701-1102, CY:IITK:1501#CY:IITKgp:1601#CY:IITB:1205#CY:IITM:1701#CY:IISc:1102, 3, false, No-Quota-Change, Same, false
M105P30, BT, 1101, GEN, 1, 5, 44.33, GEN, false, BT105022-M2, 5, 44.33, --, --, --, 1101-XXXX-XXXX, BT:IISc:1101#BT:IITB:1210#BT:IITB:1213, 3, false, No-Quota-Change, Same, false
M104B69, MA, 1103, GEN, 1, 5, 64, GEN, false, MA322108-M1, 5, 64, --, --, --, 1103-1206-1502-1702-1302, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITM:1702#MA:IITD:1302, 3, false, No-Quota-Change, Same, false
M111F25, BL, 1101, GEN, 1, 5, 64.33, GEN, false, BL320086-M0, 5, 64.33, BT320083-M0, 330, 24.33, 1101-XXXX-1204-1802, BL:IISc:1101#BL:IITB:1210#BT:IITB:1204#BT:IITR:1802, 3, false, No-Quota-Change, Same, false
M105J86, MS, 1203, GEN, 1, 5, 71.33, GEN, false, MS611054-M2, 5, 71.33, --, --, --, 1203-1504-1214, MS:IITB:1203#MS:IITK:1504#MS:IITB:1214, 3, false, No-Quota-Change, Same, false
M107E62, BL, 1101, GEN, 1, 6, 63.67, GEN, false, BL606057-M0, 6, 63.67, BT606057-M0, 29, 38.33, 1101-1204-1802-XXXX, BL:IISc:1101#BT:IITB:1204#BT:IITR:1802#BL:IITB:1210, 3, true, No-Quota-Change, Improved , false
M113A37, BL, 1101, GEN, 4, 6, 63.67, GEN, false, BL320116-M0, 6, 63.67, BT320113-M0, 62, 34.67, 1204-1802-XXXX-1101-1102, BT:IITB:1204#BT:IITR:1802#BL:IITB:1210#BL:IISc:1101#BL:IISc:1102, 1, true, NA, NA, true
M101K26, GG, 1602, GEN, 1, 6, 79.33, GEN, false, GG607006-M2, 6, 79.33, --, --, --, 1602-1201-1208-1801, GG:IITKgp:1602#GG:IITB:1201#GG:IITB:1208#GG:IITR:1801, 3, false, No-Quota-Change, Same, false
M105K13, CY, 1205, GEN, 1, 6, 78.33, GEN, false, CY302032-M2, 6, 78.33, --, --, --, 1205-1301-1501, CY:IITB:1205#CY:IITD:1301#CY:IITK:1501, 3, false, No-Quota-Change, Same, false
M102T35, MA, 1103, GEN, 1, 6, 63.67, GEN, false, MA326016-M1, 6, 63.67, --, --, --, 1103-1206-1502-1302-1702-1402-1804-2002-2102-2301-2203-2403, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITD:1302#MA:IITM:1702#MA:IITG:1402#MA:IITR:1804#MA:IITGN:2002#MA:IITH:2102#MA:IITRPR:2301#MA:IITI:2203#MA:IITJ:2403, 3, false, No-Quota-Change, Same, false
M104U37, MS, 1504, GEN, 1, 6, 71, GEN, false, MS610255-M2, 6, 71, --, --, --, 1504-1203, MS:IITK:1504#MS:IITB:1203, 3, false, No-Quota-Change, Same, false
M109X50, PH, 1207, GEN, 1, 6, 61, GEN, false, PH212023-M1, 6, 61, --, --, --, 1207, PH:IITB:1207, 3, false, No-Quota-Change, Same, false
M101N25, GG, 1201, GEN, 1, 7, 78.67, GEN, false, GG403009-M2, 7, 78.67, --, --, --, 1201-1801-1602-1904, GG:IITB:1201#GG:IITR:1801#GG:IITKgp:1602#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M110E46, CY, 1501, GEN, 1, 7, 77.67, GEN, false, CY612029-M2, 7, 77.67, --, --, --, 1501-1205-1601-1701-1401-1102, CY:IITK:1501#CY:IITB:1205#CY:IITKgp:1601#CY:IITM:1701#CY:IITG:1401#CY:IISc:1102, 3, false, No-Quota-Change, Same, false
M101N21, MS, 1504, GEN, 1, 7, 69.67, GEN, false, MS513209-M2, 7, 69.67, --, --, --, 1504-1203, MS:IITK:1504#MS:IITB:1203, 3, false, No-Quota-Change, Same, false
M102E67, MA, 1103, GEN, 1, 7, 62.33, GEN, false, MA304132-M1, 7, 62.33, --, --, --, 1103-1206-1302-1502-1603-1214-1804, MA:IISc:1103#MA:IITB:1206#MA:IITD:1302#MA:IITK:1502#MA:IITKgp:1603#MA:IITB:1214#MA:IITR:1804, 3, false, No-Quota-Change, Same, false
M102T81, BT, 1101, GEN, 1, 8, 42.67, GEN, false, BL303241-M0, 4, 64.67, BT303119-M0, 8, 42.67, 1101-1204-XXXX, BL:IISc:1101#BT:IITB:1204#BL:IITB:1210, 3, false, No-Quota-Change, Same, false
M112E18, PH, 1207, GEN, 1, 8, 60.33, GEN, false, PH612261-M1, 8, 60.33, --, --, --, 1207-1503-XXXX-1703-1303-1403, PH:IITB:1207#PH:IITK:1503#PH:IISc:1104#PH:IITM:1703#PH:IITD:1303#PH:IITG:1403, 3, false, No-Quota-Change, Same, false
