registration_id,application_id,air,raw_marks
BL303235-M0,M102G57,249,38.33
BL606130-M0,M118V62,249,38.33
BL204086-M0,M122U40,251,38.33
BL603223-M1,M103R97,251,38.33
BL325051-M0,M114A45,251,38.33
BL313038-M0,M111H46,254,38.33
BL204081-M0,M122P64,254,38.33
BL606111-M0,M113M33,256,38.33
BL606077-M0,M109H28,256,38.33
BL328001-M1,M116W20,256,38.33
BL213007-M0,M115Q12,259,38.33
BL312067-M0,M121N70,259,38.33
BL325087-M0,M119C93,261,38.33
BL304044-M0,M122V59,262,38
BL603034-M1,M118S52,262,38
BL801127-M0,M110V66,264,38
BL308006-M0,M105J16,264,38
BL617006-M0,M107H63,266,38
BL205127-M0,M102J35,266,38
BL610127-M0,M116U24,266,38
BL304024-M0,M119M47,269,38
BL606070-M0,M108R89,269,38
BL325071-M0,M117A26,269,38
BL512051-M0,M111Y70,272,37.67
BL309212-M0,M109Y33,272,37.67
BL606064-M0,M107R98,272,37.67
BL319093-M0,M105Q39,272,37.67
BL320056-M0,M109X59,276,37.67
BL701288-M1,M119N45,277,37.33
BL106002-M0,M103C84,278,37.33
BL320166-M0,M116Q29,278,37.33
BL513201-M1,M122A11,280,37.33
BL307139-M0,M122B11,280,37.33
BL206027-M0,M108Y84,282,37.33
BL302237-M1,M113D27,282,37.33
BL320188-M0,M118K72,282,37.33
BL204048-M0,M116Q19,285,37
BL610103-M0,M110V94,285,37
BL610072-M0,M106D33,285,37
BL607073-M1,M102W13,288,37
BL320011-M0,M108A38,288,37
BL325101-M0,M121U27,288,37
BL101172-M1,M107H80,291,37
BL303008-M1,M115T93,291,37
BL203060-M1,M101R47,291,37
BL322058-M1,M103B43,291,37
BL205122-M0,M101X73,291,37
BL324246-M1,M121E88,296,37
BL616063-M1,M108V57,297,36.67
BL319088-M0,M105P18,298,36.67
BL509023-M0,M106W57,299,36.67
BL211296-M1,M105P78,299,36.67
BL606039-M0,M105K56,299,36.67
BL320010-M0,M108A14,299,36.67
BL705117-M1,M121C29,303,36.67
BL309219-M0,M120B31,303,36.67
BL618011-M0,M113D19,305,36.67
BL320063-M0,M110C30,305,36.67
BL301014-M0,M101V76,307,36.67
BL510012-M0,M103H31,307,36.67
BL313305-M1,M113N13,309,36.33
BL302201-M1,M111X55,310,36.33
BL203257-M1,M107K21,310,36.33
BL603113-M0,M104P75,310,36.33
BL205150-M0,M118N42,310,36.33
BL320101-M0,M112C12,310,36.33
BL301137-M0,M111M84,315,36.33
BL304079-M0,M118F57,315,36.33
BL606072-M0,M108T27,315,36.33
BL108063-M1,M116A37,318,36.33
BL301051-M0,M103V71,318,36.33
BL213056-M1,M104U94,318,36.33
BL321057-M0,M122Q93,318,36.33
BL313293-M1,M113E25,322,36.33
BL301240-M0,M118R58,322,36.33
BL301253-M0,M119E27,322,36.33
BL103144-M1,M115N11,322,36.33
BL205105-M1,M122A99,322,36.33
BL319111-M0,M106K88,322,36.33
BL320055-M0,M109X41,322,36.33
BL324374-M0,M106K92,329,36.33
BL111047-M1,M122J57,329,36.33
BL403114-M0,M101P63,331,36.33
BL610091-M0,M109H43,332,36
BL701052-M1,M101X77,333,36
BL320040-M0,M109D24,333,36
BL805054-M0,M101M17,333,36
BL204074-M0,M121F86,336,36
BL616019-M0,M115N85,336,36
BL801007-M0,M110Y65,338,36
BL303171-M1,M120T77,339,36
BL321031-M0,M120Q52,339,36
BL809147-M0,M101Q26,341,36
BL301006-M0,M101J17,342,35.67
BL203109-M1,M113Y92,342,35.67
BL603126-M0,M106P92,342,35.67
BL102020-M1,M110R95,342,35.67
BL610128-M0,M116Y29,342,35.67
BL325024-M0,M110M52,342,35.67
BL101102-M1,M101J65,348,35.67
BL101166-M1,M106E55,348,35.67
BL409006-M0,M109F16,348,35.67
BL320111-M0,M112V40,351,35.67
BL206014-M0,M106G76,352,35.67
BL617101-M0,M121N11,352,35.67
BL301090-M0,M107E84,354,35.67
BL606027-M0,M104A60,355,35.33
BL115039-M1,M116R11,356,35.33
BL610114-M0,M114F91,357,35.33
BL319109-M0,M106K79,357,35.33
BL411107-M0,M112M28,359,35.33
BL303243-M0,M103A33,359,35.33
BL203057-M0,M122U23,359,35.33
BL610113-M0,M114D83,359,35.33
BL320073-M0,M110Q97,359,35.33
BL204016-M0,M108A60,364,35.33
BL508058-M1,M115N20,365,35
BL309012-M0,M108A94,366,35
BL606004-M0,M101K16,366,35
BL606029-M0,M104M94,366,35
BL302236-M1,M113C79,369,35
BL603127-M0,M106P99,369,35
BL603117-M0,M105V43,369,35
BL319061-M0,M104A88,369,35
BL309003-M0,M103K84,373,35
BL205079-M1,M119X16,373,35
BL703045-M1,M105C84,373,35
BL103203-M1,M121R40,376,35
BL604154-M1,M118M30,377,34.67
BL607083-M1,M102Z48,377,34.67
BL512009-M1,M115N60,379,34.67
BL308008-M0,M107T85,379,34.67
BL324141-M1,M118D92,381,34.67
BL301278-M0,M121C31,381,34.67
BL204079-M0,M121V52,381,34.67
BL310039-M0,M119M76,381,34.67
BL410010-M0,M101P41,381,34.67
BL409013-M1,M101A18,381,34.67
BL307106-M1,M116T99,387,34.67
BL103020-M0,M107Y33,387,34.67
BL325062-M0,M116C36,387,34.67
BL301209-M0,M116R53,390,34.67
BL301418-M1,M104F59,390,34.67
BL321022-M0,M120E74,390,34.67
BL503025-M0,M110N37,393,34.33
BL403003-M0,M114H12,393,34.33
BL321033-M0,M120R10,393,34.33
BL325082-M0,M118U34,393,34.33
BL210195-M1,M108U36,397,34.33
BL204117-M1,M105T73,398,34.33
BL307057-M1,M107F56,398,34.33
BL114139-M1,M113J56,398,34.33
BL313041-M0,M111K56,401,34.33
BL101078-M0,M120U85,401,34.33
BL210157-M1,M107M48,401,34.33
BL610087-M0,M108T16,401,34.33
BL607201-M1,M105A32,405,34.33
BL205281-M1,M114V77,405,34.33
BL603132-M0,M109P67,407,34.33
BL205147-M0,M116N98,408,34
BL320083-M0,M111C34,408,34
BL701018-M0,M111D49,410,34
BL411100-M0,M105D23,410,34
BL301155-M0,M112F89,410,34
BL303251-M0,M103R36,410,34
BL210121-M1,M105B17,410,34
BL312020-M0,M121Q36,410,34
BL403124-M0,M117S89,410,34
BL321060-M0,M122S35,410,34
BL513075-M1,M110B34,418,34
BL510040-M0,M117C78,418,34
BL509252-M0,M121Z74,420,34
BL603148-M0,M113E81,421,34
BL613132-M1,M115C88,422,33.67
BL405007-M0,M102Z24,423,33.67
BL602026-M1,M110Z73,423,33.67
BL301096-M0,M108B76,425,33.67
BL203185-M0,M103X92,425,33.67
BL313386-M1,M116M27,427,33.67
BL209094-M0,M104C74,427,33.67
BL102019-M1,M110R74,427,33.67
BL412106-M0,M107Y85,430,33.67
BL304010-M0,M116W97,430,33.67
BL803003-M0,M103N48,430,33.67
BL310198-M1,M117H73,430,33.67
BL210002-M0,M101X20,430,33.67
BL601006-M0,M102A15,430,33.67
BL616045-M1,M105B42,430,33.67
BL606108-M0,M113B23,430,33.67
BL606113-M0,M114D41,430,33.67
BL501192-M1,M115M26,439,33.67
BL204050-M0,M116T25,439,33.67
BL105128-M1,M118J45,439,33.67
BL410106-M1,M108W64,442,33.67
BL610075-M0,M106H84,442,33.67
BL610057-M0,M103Y98,444,33.33
BL609181-M1,M117U54,445,33.33
BL103032-M0,M110Z55,445,33.33
BL606073-M0,M108U68,445,33.33
BL319076-M0,M105A60,445,33.33
BL205009-M1,M112C42,449,33.33
BL319120-M0,M107C84,449,33.33
BL807144-M1,M122J61,451,33.33
BL618076-M0,M110Z74,451,33.33
BL301109-M0,M109E49,451,33.33
BL303105-M1,M118W68,451,33.33
BL204012-M0,M105V56,451,33.33
BL616106-M1,M117V64,451,33.33
BL805049-M1,M121W91,451,33.33
BL805079-M1,M116B35,458,33.33
BL701168-M0,M102A73,459,33
BL509033-M0,M112Q59,459,33
BL301052-M0,M103V81,461,33
BL309007-M0,M104W52,461,33
BL210059-M0,M117M83,463,33
BL601007-M0,M102B25,463,33
BL205086-M1,M120V20,463,33
BL607081-M1,M102Y35,466,33
BL325004-M0,M107J74,466,33
BL411008-M0,M105F62,468,33
BL301098-M0,M108H89,468,33
BL203019-M0,M107E86,468,33
BL102088-M1,M117Q74,468,33
BL323044-M1,M106F46,472,32.67
BL606076-M0,M109E87,472,32.67
BL606035-M0,M105A59,474,32.67
BL101065-M0,M116T63,475,32.67
BL211126-M1,M119C17,475,32.67
BL205156-M0,M122H76,475,32.67
BL610098-M0,M109Z94,475,32.67
BL501003-M0,M102Z66,479,32.67
BL610133-M0,M119U50,479,32.67
BL205077-M1,M119M61,481,32.67
BL610216-M1,M101X64,481,32.67
BL410204-M1,M117V86,483,32.67
BL301192-M0,M115P37,484,32.33
BL809170-M0,M120J52,485,32.33
BL807011-M1,M118C60,486,32.33
BL512018-M0,M103X14,486,32.33
BL301263-M0,M120E39,486,32.33
BL405078-M1,M101R11,486,32.33
BL617095-M0,M120U47,486,32.33
BL312009-M0,M109X29,486,32.33
BL615004-M0,M107Z32,492,32.33
BL405034-M0,M109F82,492,32.33
BL308104-M1,M120C47,492,32.33
BL203188-M0,M105A21,492,32.33
BL601014-M0,M103K65,492,32.33
BL318008-M0,M115G48,492,32.33
BL606020-M0,M103H11,492,32.33
BL802020-M0,M115Y78,492,32.33
BL325002-M0,M107C17,492,32.33
BL411102-M0,M105E29,501,32.33
BL513006-M1,M102Z44,501,32.33
BL301120-M0,M110V86,501,32.33
BL303297-M0,M111H33,501,32.33
BL609201-M1,M119D33,501,32.33
BL203099-M1,M112A95,501,32.33
BL102027-M1,M111H90,501,32.33
BL212193-M1,M122B98,501,32.33
BL606134-M0,M119J42,501,32.33
BL211155-M1,M120X45,510,32
BL211328-M1,M107T71,510,32
BL610089-M0,M108X88,510,32
BL801019-M0,M115K52,513,32
BL509022-M0,M106N86,513,32
BL607077-M1,M102W21,513,32
BL303245-M0,M103B17,513,32
BL608005-M1,M105R85,513,32
BL405248-M0,M103A67,513,32
BL307004-M0,M103Q32,513,32
BL606106-M0,M112V53,513,32
BL301156-M0,M112G12,521,32
BL204019-M0,M109A90,521,32
BL606125-M0,M116Q18,521,32
BL319072-M0,M104Y28,521,32
BL321036-M0,M121B50,521,32
BL513153-M1,M117E53,526,32
BL308089-M1,M118C80,526,32
BL410015-M0,M107P53,526,32
BL404037-M1,M114Y99,526,32
BL210074-M0,M121E70,530,32
BL325076-M0,M117Z38,531,31.67
BL309022-M0,M112D27,532,31.67
BL603155-M0,M114V66,533,31.67
BL801097-M1,M119J91,534,31.67
BL313049-M0,M113R94,534,31.67
BL210013-M0,M104X55,534,31.67
BL602055-M1,M112M17,534,31.67
BL610102-M0,M110V75,534,31.67
BL210093-M1,M102H71,539,31.67
BL319124-M0,M107G53,539,31.67
BL502021-M0,M121C66,541,31.67
BL411015-M0,M108T78,541,31.67
BL411010-M0,M105F79,541,31.67
BL607197-M1,M104Y48,544,31.67
BL309021-M0,M111M11,544,31.67
BL325059-M0,M115M42,546,31.67
BL805059-M0,M115D71,546,31.67
BL207076-M0,M106Q55,548,31.33
BL207075-M0,M106M87,548,31.33
BL803159-M1,M120G24,548,31.33
BL307032-M0,M119G90,548,31.33
BL324347-M0,M102Z60,552,31.33
BL210075-M0,M121E77,552,31.33
BL321035-M0,M121A71,552,31.33
BL324228-M1,M120Q62,555,31.33
BL303087-M1,M118E77,555,31.33
BL103130-M1,M113T88,555,31.33
BL109039-M1,M103Q37,555,31.33
BL606104-M0,M112Q27,555,31.33
BL607128-M1,M103S21,560,31.33
BL301093-M0,M107Y98,560,31.33
BL323367-M1,M113E74,560,31.33
BL608087-M1,M107Y54,560,31.33
BL204130-M1,M108A25,560,31.33
BL319049-M0,M103K26,560,31.33
BL701031-M0,M120R76,566,31.33
BL615047-M0,M122V19,566,31.33
BL310144-M1,M113Y88,566,31.33
BL205018-M1,M113Q84,569,31.33
BL320024-M0,M108S27,570,31
BL324366-M0,M105X75,571,31
BL508020-M0,M120F38,571,31
BL307012-M0,M108D71,571,31
BL806011-M0,M106Y10,571,31
BL320158-M0,M116G88,571,31
BL605158-M1,M102M76,571,31
BL807132-M1,M118Z11,577,31
BL512071-M0,M116A20,577,31
BL301076-M0,M106A47,577,31
BL211027-M1,M111F99,577,31
