AAllocated-Progra,allocated-Paper,Allocated-Quota
2001,CY,SC
1901,CY,SC
2101,CY,SC
2203,MA,SC
1703,PH,SC
1603,MA,ST
1702,MA,SC
1901,CY,SC
2101,CY,SC
2203,MA,SC
2103,PH,SC
1212,CY,OBC
1303,PH,ST
1902,MA,ST
2002,MA,SC
1403,PH,SC
1502,MA,SC-PwD
2101,CY,SC
2101,CY,SC
1303,PH,SC
1303,PH,SC
1703,PH,SC
1703,PH,SC
1805,PH,OBC-PwD
2201,CY,SC
1216,PH,SC
1703,PH,SC
2201,CY,SC
1402,MA,SC
1805,PH,SC
1402,MA,SC
1402,MA,SC
1403,PH,SC
1702,MA,GEN-PwD
1403,PH,SC
1303,PH,ST
2102,MA,SC
2103,PH,SC
1401,CY,ST
1402,MA,SC
1216,PH,ST
1703,PH,SC
2002,MA,SC
2002,MA,SC
2303,PH,SC
1402,MA,SC
1903,PH,SC
2202,PH,SC
2103,PH,SC
1703,PH,SC
1905,CY,SC
1903,PH,SC
1604,PH,ST
1301,CY,ST
1905,MA,SC
2202,PH,SC
1402,MA,ST
2403,MA,ST
1503,PH,ST
1903,PH,SC
1301,CY,ST
1902,MA,ST
2402,PH,SC
2402,PH,SC
1102,CY,ST
1302,MA,GEN-PwD
1605,PH,SC
1804,MA,ST
1502,MA,ST
2003,PH,SC
2003,PH,SC
1301,CY,OBC-PwD
1804,MA,ST
1207,PH,ST
1402,MA,ST
2002,MA,GEN-PwD
1303,PH,ST
1502,MA,ST
1402,MA,ST
1702,MA,ST
1207,PH,ST
1701,CY,GEN-PwD
1502,MA,ST
1503,PH,ST
2403,MA,GEN-PwD
1212,CY,SC
1303,PH,ST
1604,PH,ST
1207,PH,ST
1605,PH,ST
1701,CY,ST
1604,PH,ST
1703,PH,ST
1403,PH,ST
1805,PH,ST
1301,CY,ST
1301,CY,ST
1703,PH,ST
2203,MA,ST
1703,PH,ST
1202,PH,ST
1402,MA,ST
1215,PH,ST
1601,CY,ST
1702,MA,ST
1805,PH,ST
2103,PH,ST
1501,CY,ST
1403,PH,ST
1601,CY,ST
1501,CY,ST
1601,CY,ST
1403,PH,ST
1601,CY,ST
1205,CY,ST
1205,CY,ST
1701,CY,ST
1403,PH,ST
2103,PH,ST
1803,CY,ST
1903,PH,ST
1402,MA,GEN-PwD
1903,PH,ST
2303,PH,ST
1401,CY,ST
2102,MA,GEN-PwD
1501,CY,ST
2301,MA,ST
2003,PH,ST
1303,PH,GEN-PwD
1702,MA,ST
2402,PH,ST
2202,PH,ST
2002,MA,ST
1803,CY,ST
1211,CY,ST
2002,MA,ST
1403,PH,GEN-PwD
2102,MA,ST
1702,MA,ST
1803,CY,OBC-PwD
1905,CY,ST
1401,CY,ST
1701,CY,ST
2101,CY,ST
1901,CY,GEN-PwD
1901,CY,ST
2302,CY,GEN-PwD
2401,CY,GEN-PwD
2001,CY,ST
1701,CY,ST
1901,CY,ST
2001,CY,ST
1207,PH,GEN-PwD
1703,PH,GEN-PwD
2402,PH,GEN-PwD
