application_id,seat_allotted
M101P74,1201
M108K96,1201
M107D17,1201
M107N13,1201
M101Z96,1201
M113K85,1201
M105R94,1201
M108J10,1201
M109W82,1201
M105M96,1201
M105H61,1201
M105H73,1201
M109W41,1201
M101P47,1201
M102H24,1201
M111B71,1201
M107D19,1201
M107D18,1201
M108T64,1201
M105F45,1201
M119T85,1201
M102T61,1201
M105E34,1201
M106M74,1201
M105Q42,1201
M106J45,1201
M110E92,1201
M107K64,1201
M109W77,1201
M107K60,1201
M107K12,1201
M105E39,1201
M109W86,1201
M105E78,1201
M109W53,1201
M105H65,1201
M116H70,1201
M105H64,1201
M101N25,1201
M108M76,1201
M108X80,1201
M103J46,1201
M103J31,1201
M103J40,1201
M111Z46,1104
M117R79,1104
M111S52,1104
M102N49,1104
M107B53,1104
M114J83,1104
M103H55,1104
M107K54,1104
M105G95,1104
M104N15,1104
M108N97,1104
M112Q89,1104
M105X66,1104
M108P17,1104
M101S62,1104
M101A74,1104
M103A40,1104
M109U10,1104
M102M83,1104
M109J34,1104
M102T16,1104
M119W11,1104
M107M70,1104
M102J64,1104
M103D94,1104
M111G71,1104
M104F25,1201
M106Q94,1103
M106F26,1604
M107C16,1503
M103V13,1701
M112E94,1503
M103W36,1501
M110T51,1401
M104H52,1604
M121Y10,1505
M107D80,1403
M102T59,1303
M101N86,1703
M111V15,1505
M108S93,2101
M119F93,1805
M111B69,1604
M114C18,1701
M111U85,2002
M121G21,1104
M101Y88,1104
M104U99,1104
M102C27,1104
M104U59,1104
M102M81,1104
M109T45,1104
M103H42,1103
M108P37,1103
M106D65,1103
M118R93,1103
M101H97,1103
M104G26,1103
M117X41,1103
M118U96,1103
M102Z69,1103
M114P78,1103
M102H66,1103
M101B41,1103
M117K53,1103
M115V31,1103
M104D15,1103
M116A18,1103
M106W69,1103
M104K32,1103
M114C48,1103
M103M72,1103
M110D94,1103
M111D44,1103
M101K53,1103
M108W31,1103
M108F90,1103
M116Z37,1103
M106C68,1103
M104R64,1103
M103A97,1103
M108T73,1103
M115U13,1103
M104E32,1103
M107S73,1103
M103Q31,1103
M108T93,1103
M102T33,1103
M105J82,1103
M113C85,1103
M101T64,1103
M104N25,1202
M107F68,1202
M101Z98,1605
M106N70,1605
M106N70,1801
M109G13,1904
M102C89,1504
M104A32,1605
M108S12,1602
M108S12,1201
M105W92,1501
M108B37,1602
M106M56,1602
M101Q31,1202
M104X71,2103
M122B31,2303
M122B31,1209
M104A43,1805
M104A43,1605
M102A61,1212
M105T91,1605
M105T91,2202
M113E71,1604
M118U24,1101
M107F27,2101
M109U56,1504
M105K32,2302
M109Y71,1702
M105C56,1901
M102S82,1605
M101M81,1103
M107G43,1903
M107G43,1703
M107Y89,1604
M107Y89,1903
M103V74,1903
M104Z45,1403
M101G71,2202
M105B46,2303
M103C40,1604
M108P48,2103
M102G80,1403
M112B86,1904
M103W61,1602
M107R79,1703
M107P36,2002
M106E37,1403
M106E37,1303
M119T74,1604
M105E84,1301
M105E84,1205
M105E84,1803
M105B57,1703
M105B57,1403
M106B56,1303
M103V19,1403
M104V82,1303
M101G71,1903
M101G71,1403
M108U14,2202
M107T19,1103
M116J34,1203
M108U14,1202
M102U90,1805
M120P50,1805
M120P50,1703
M120P50,1403
M101N64,2103
M115W20,1604
M109G68,1804
M109G68,1402
M109G68,1302
M108D41,1403
M105T85,1301
M105T85,1211
M111B88,1401
M110W51,1401
M106B24,1216
M118Q31,1401
M108P17,1503
M108P17,1207
M107Z79,1601
M113M63,1805
M115Y85,2303
M114Y74,2402
M104U62,1901
M104M71,2101
M101N86,1903
M108S93,1701
M107P79,1303
M118E32,2402
M121Y93,2202
M103Q31,1203
M122R37,1303
M106W68,1206
M106W68,1103
M101D76,1805
M111Q54,1703
M111Q54,1216
M108C59,1504
M119T74,1403
M119T74,1303
M120V92,1206
M121D44,1203
M105B57,1805
M112H62,1505
