 course_id , institute_id , paper_id , course_name , has_offline_procedure , web_link , is_not_available_pwd , is_not_available_male , is_not_available_female
 2103 , IITH , PH , M.Sc. Physics , f , , f , f , f , 
 2202 , IITI , PH , M.Sc. Physics , f , , f , f , f , 
 1103 , IISc , MA , Integrated Ph.D. Mathematical Sciences , f , , f , f , f , 
 1904 , IITBBS , GG , Joint M.Sc.-Ph.D. Geology , f , , f , f , f , 
 2402 , IITJ , PH , M.Sc. in Physics , f , , f , f , f , 
 2403 , IITJ , MA , M.Sc. in Mathematics , f , , f , f , f , 
 2301 , IITRPR , MA , M.Sc. Mathematics , f , , f , f , f , 
 1605 , IITKgp , PH , Joint M.Sc.-Ph.D. Geophysics , f , , f , f , f , 
 1804 , IITR , MA , M.Sc. Mathematics , f , , f , f , f , 
 2303 , IITRPR , PH , M.Sc.-M.S.(Research)/Ph.D. Dual Degree Physics , f , , f , f , f , 
(84 rows)

