Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, Is_accepted, Is_rejected, Remark, StatusId, autoUpgrade
M104R93, 1207, PH, GEN, 1, 16, 56.33, round2, null, null, null,3, false
M111H64, 1504, MS, GEN, 1, 16, 58.33, round2, null, null, null,3, false
M116U94, 1206, MA, GEN, 2, 16, 55, round2, null, null, null,4, true
M111A64, 1204, BT, GEN, 1, 17, 40, round2, null, null, null,3, false
M107K64, 1201, GG, OBC, 1, 17, 73, round2, null, null, null,3, false
M109W77, 1201, GG, OBC, 1, 17, 73, round2, null, null, null,3, false
M107S99, 1501, CY, GEN, 1, 17, 74, round2, null, null, null,3, false
M111Q86, 1501, CY, GEN, 1, 18, 73.67, round2, null, null, null,3, false
M111H75, 1501, CY, GEN, 1, 18, 73.67, round2, null, null, null,3, false
M109E24, 1302, MA, GEN, 2, 18, 55, round2, null, null, null,3, false
M101C20, 1101, BL, OBC, 1, 18, 57.67, round2, null, null, null,3, false
M114J24, 1204, BT, GEN, 1, 18, 39.67, round2, null, null, null,3, false
M109J23, 1203, MS, GEN, 1, 18, 58, round2, null, null, null,3, false
M103W20, 1204, BT, GEN, 1, 18, 39.67, round2, null, null, null,3, false
M107E86, 1101, BT, GEN, 1, 18, 39.67, round2, null, null, null,3, true
M107J43, 1504, MS, GEN, 1, 19, 58, round2, null, null, null,3, false
M110E92, 1602, GG, GEN, 2, 19, 73, round2, null, null, null,4, true
M106N29, 1207, PH, GEN, 1, 19, 56, round2, null, null, null,3, false
M103J32, 1206, MA, GEN, 1, 19, 54.67, round2, null, null, null,3, false
M106J45, 1201, GG, OBC, 1, 20, 72, round2, null, null, null,3, false
M107S63, 1501, CY, GEN, 1, 20, 73.67, round2, null, null, null,3, false
M101X24, 1203, MS, GEN, 1, 20, 57.33, round2, null, null, null,3, false
M102M81, 1604, PH, GEN, 2, 20, 55.67, round2, null, null, null,4, true
M101V31, 1206, MA, GEN, 1, 20, 54.33, round2, null, null, null,1, true
M114D55, 1208, GG, GEN, 1, 21, 72, round2, null, null, null,3, false
M117A45, 1204, BT, GEN, 1, 21, 39.67, round2, null, null, null,3, false
M105C23, 1501, CY, GEN, 1, 21, 73.33, round2, null, null, null,3, false
M102G74, 1206, MA, GEN, 1, 21, 53.33, round2, null, null, null,3, false
M106A59, 1504, MS, GEN, 1, 21, 57.33, round2, null, null, null,3, false
M103K50, 1504, MS, GEN, 1, 22, 57.33, round2, null, null, null,3, false
M105J77, 1203, MS, GEN, 1, 22, 57.33, round2, null, null, null,3, false
M105J12, 1501, CY, GEN, 1, 22, 72.67, round2, null, null, null,3, false
M106C71, 1801, GG, GEN, 2, 22, 71.67, round2, null, null, null,3, false
M109C11, 1204, BT, GEN, 1, 22, 39.33, round2, null, null, null,3, false
M108E38, 1302, MA, GEN, 2, 22, 53.33, round2, null, null, null,4, true
M113B22, 1101, BL, SC, 1, 23, 55.67, round2, null, null, null,3, false
M119C93, 1802, BT, GEN, 1, 23, 39.33, round2, null, null, null,3, false
M105Q42, 1602, GG, GEN, 2, 23, 71.33, round2, null, null, null,4, true
M106C16, 1503, PH, GEN, 1, 23, 54.33, round2, null, null, null,3, false
M108S51, 1208, GG, GEN, 1, 23, 71.33, round2, null, null, null,3, false
M110T98, 1501, CY, GEN, 1, 23, 72, round2, null, null, null,3, false
M111M37, 1210, BT, GEN, 3, 24, 39, round2, null, null, null,3, false
M112A47, 1503, PH, GEN, 1, 24, 54.33, round2, null, null, null,3, false
M105W92, 1501, CY, GEN, 1, 24, 71.33, round2, null, null, null,3, false
M107R71, 1206, MA, GEN, 1, 24, 53, round2, null, null, null,3, false
M106M76, 1602, GG, GEN, 1, 25, 70.33, round2, null, null, null,3, false
M102C84, 1206, MA, GEN, 2, 25, 53, round2, null, null, null,4, true
M105D49, 1206, MA, GEN, 2, 25, 53, round2, null, null, null,4, true
M106M74, 1201, GG, OBC, 1, 25, 70.33, round2, null, null, null,3, false
M101P26, 1504, MS, GEN, 1, 25, 56.33, round2, null, null, null,3, false
M114A35, 1204, BT, GEN, 1, 25, 38.67, round2, null, null, null,3, true
M107S87, 1501, CY, GEN, 1, 25, 71.33, round2, null, null, null,3, false
M112S49, 1802, BT, GEN, 1, 26, 38.67, round2, null, null, null,3, false
M102Y56, 1210, BT, GEN, 1, 26, 38.67, round2, null, null, null,3, false
M109K57, 1203, MS, GEN, 1, 26, 56, round2, null, null, null,3, false
M106R35, 1204, BT, GEN, 1, 26, 38.67, round2, null, null, null,3, true
M111J98, 1205, CY, GEN, 1, 26, 71, round2, null, null, null,4, true
M105R64, 1504, MS, GEN, 1, 27, 55.33, round2, null, null, null,3, false
M111H78, 1501, CY, GEN, 1, 27, 70.67, round2, null, null, null,3, false
M102C27, 1503, PH, GEN, 2, 27, 53, round2, null, null, null,3, false
M103B82, 1206, MA, GEN, 2, 27, 53, round2, null, null, null,3, true
M108T47, 1203, MS, GEN, 1, 27, 55.33, round2, null, null, null,3, false
M105E34, 1602, GG, GEN, 2, 27, 69.33, round2, null, null, null,4, true
M102Y77, 1205, CY, GEN, 1, 27, 70.67, round2, null, null, null,3, false
M104U99, 1104, PH, GEN, 1, 28, 52.67, round2, null, null, null,3, false
M102T61, 1201, GG, OBC, 1, 28, 68.67, round2, null, null, null,3, false
M108Y54, 1206, MA, GEN, 1, 28, 52.67, round2, null, null, null,3, true
M107E62, 1802, BT, GEN, 3, 29, 38.33, round2, null, null, null,4, true
M102W56, 1103, MA, GEN, 1, 29, 52.67, round2, null, null, null,3, false
M102R50, 1203, MS, GEN, 1, 29, 54, round2, null, null, null,3, false
M107S77, 1501, CY, GEN, 1, 29, 70.67, round2, null, null, null,3, false
M119T85, 1801, GG, GEN, 2, 29, 68.33, round2, null, null, null,4, true
M118U85, 1502, MA, GEN, 2, 29, 52.67, round2, null, null, null,4, true
M106Z87, 1101, BL, OBC, 1, 30, 54.33, round2, null, null, null,3, false
M108X64, 1602, GG, GEN, 1, 30, 68.33, round2, null, null, null,3, false
M109Z55, 1203, MS, GEN, 1, 30, 53.67, round2, null, null, null,3, false
M106Z40, 1501, CY, SC, 1, 30, 70, round2, null, null, null,3, false
M105C65, 1503, PH, GEN, 1, 30, 52, round2, null, null, null,3, false
M119J81, 1302, MA, GEN, 3, 31, 52.33, round2, null, null, null,4, true
M119X70, 1102, CY, GEN, 1, 31, 70, round2, null, null, null,4, true
M109U56, 1504, MS, GEN, 1, 31, 53.33, round2, null, null, null,3, false
M105F45, 1602, GG, GEN, 2, 31, 68, round2, null, null, null,4, true
M101V76, 1802, BT, GEN, 3, 31, 38, round2, null, null, null,4, true
