application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, Round, isProvisional, StatusId, autoUpgrade, acceptancePath, declarationPath, undertakingPath, challanPath, isSupernumeri
M111P87, 1207, PH, GEN, 1, 4, 63.67, round3, true, 3, false, /mnt/nas/nas1/set21/bucket19/M111P87/M111P87-ch-20150617103950389, null, /mnt/nas/nas1/set21/bucket19/M111P87/M111P87-ch-20150617104141691, /mnt/nas/nas1/set21/bucket19/M111P87/M111P87-ch-20150617114649239, false
M108M76, 1201, GG, GEN, 1, 5, 80.67, round3, true, 3, false, /mnt/nas/nas2/set33/bucket2/M108M76/M108M76-ch-20150616191639664, null, /mnt/nas/nas2/set33/bucket2/M108M76/M108M76-ch-20150616191700074, /mnt/nas/nas2/set33/bucket2/M108M76/M108M76-ch-20150617183049996, false
M103A86, 1501, CY, GEN, 1, 5, 80, round3, true, 3, false, /mnt/nas/nas2/set63/bucket66/M103A86/M103A86-ch-20150616231501257, null, /mnt/nas/nas2/set63/bucket66/M103A86/M103A86-ch-20150616231602507, /mnt/nas/nas2/set63/bucket66/M103A86/M103A86-ch-20150617205017568, false
M105P30, 1101, BT, GEN, 1, 5, 44.33, round3, false, 3, false, /mnt/nas/nas3/set88/bucket87/M105P30/M105P30-ch-20150617153820746, null, null, /mnt/nas/nas3/set88/bucket87/M105P30/M105P30-ch-20150619124120764, false
M104B69, 1103, MA, GEN, 1, 5, 64, round3, true, 3, false, /mnt/nas/nas3/set37/bucket55/M104B69/M104B69-ch-20150617125211328, null, /mnt/nas/nas3/set37/bucket55/M104B69/M104B69-ch-20150617125228188, /mnt/nas/nas3/set37/bucket55/M104B69/M104B69-ch-20150618162344279, false
M111F25, 1101, BL, GEN, 1, 5, 64.33, round3, true, 3, false, /mnt/nas/nas1/set37/bucket81/M111F25/M111F25-ch-20150618103725346, null, /mnt/nas/nas1/set37/bucket81/M111F25/M111F25-ch-20150618103830633, /mnt/nas/nas1/set37/bucket81/M111F25/M111F25-ch-20150618142615804, false
M105J86, 1203, MS, GEN, 1, 5, 71.33, round3, true, 3, false, /mnt/nas/nas2/set43/bucket86/M105J86/M105J86-ch-20150617110738237, null, /mnt/nas/nas2/set43/bucket86/M105J86/M105J86-ch-20150617110756032, /mnt/nas/nas2/set43/bucket86/M105J86/M105J86-ch-20150617124126108, false
M107E62, 1101, BL, GEN, 1, 6, 63.67, round3, false, 3, true, null, null, null, /mnt/nas/nas1/set66/bucket44/M107E62/M107E62-ch-20150617204330617, false
M113A37, 1101, BL, GEN, 4, 6, 63.67, round3, false, 1, true, null, null, null, null, true
M101K26, 1602, GG, GEN, 1, 6, 79.33, round3, true, 3, false, /mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617111920813, null, /mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617111946305, /mnt/nas/nas2/set71/bucket33/M101K26/M101K26-ch-20150617123037275, false
M105K13, 1205, CY, GEN, 1, 6, 78.33, round3, true, 3, false, /mnt/nas/nas3/set51/bucket73/M105K13/M105K13-ch-20150617104620108, null, /mnt/nas/nas3/set51/bucket73/M105K13/M105K13-ch-20150617103721932, /mnt/nas/nas3/set51/bucket73/M105K13/M105K13-ch-20150617121326865, false
M102T35, 1103, MA, GEN, 1, 6, 63.67, round3, true, 3, false, /mnt/nas/nas3/set56/bucket17/M102T35/M102T35-ch-20150616215450262, null, /mnt/nas/nas3/set56/bucket17/M102T35/M102T35-ch-20150616215616276, /mnt/nas/nas3/set56/bucket17/M102T35/M102T35-ch-2015061713282098, false
M104U37, 1504, MS, GEN, 1, 6, 71, round3, true, 3, false, /mnt/nas/nas1/set98/bucket30/M104U37/M104U37-ch-20150616123315723, null, /mnt/nas/nas1/set98/bucket30/M104U37/M104U37-ch-20150616123421886, /mnt/nas/nas1/set98/bucket30/M104U37/M104U37-ch-20150617150742406, false
M109X50, 1207, PH, GEN, 1, 6, 61, round3, true, 3, false, /mnt/nas/nas3/set61/bucket47/M109X50/M109X50-ch-20150616144215953, null, /mnt/nas/nas3/set61/bucket47/M109X50/M109X50-ch-20150616144233264, /mnt/nas/nas3/set61/bucket47/M109X50/M109X50-ch-2015061717164571, false
M101N25, 1201, GG, GEN, 1, 7, 78.67, round3, true, 3, false, /mnt/nas/nas2/set27/bucket41/M101N25/M101N25-ch-20150617125639556, null, /mnt/nas/nas2/set27/bucket41/M101N25/M101N25-ch-20150617125729952, /mnt/nas/nas2/set27/bucket41/M101N25/M101N25-ch-20150618213026795, false
M110E46, 1501, CY, GEN, 1, 7, 77.67, round3, true, 3, false, /mnt/nas/nas3/set47/bucket34/M110E46/M110E46-ch-20150618130031762, null, /mnt/nas/nas3/set47/bucket34/M110E46/M110E46-ch-2015061813005926, /mnt/nas/nas3/set47/bucket34/M110E46/M110E46-ch-20150618192741589, false
M101N21, 1504, MS, GEN, 1, 7, 69.67, round3, true, 3, false, /mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150617194711773, null, /mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150617194732619, /mnt/nas/nas1/set18/bucket63/M101N21/M101N21-ch-20150618105149895, false
M102E67, 1103, MA, GEN, 1, 7, 62.33, round3, true, 3, false, /mnt/nas/nas3/set58/bucket75/M102E67/M102E67-ch-20150616132903718, null, /mnt/nas/nas3/set58/bucket75/M102E67/M102E67-ch-20150616132939839, /mnt/nas/nas3/set58/bucket75/M102E67/M102E67-ch-20150616161113424, false
M102T81, 1101, BT, GEN, 1, 8, 42.67, round3, true, 3, false, /mnt/nas/nas2/set12/bucket69/M102T81/M102T81-ch-20150617135710451, null, /mnt/nas/nas2/set12/bucket69/M102T81/M102T81-ch-20150617135826492, /mnt/nas/nas2/set12/bucket69/M102T81/M102T81-ch-2015061718303509, false
M112E18, 1207, PH, GEN, 1, 8, 60.33, round3, true, 3, false, /mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-20150618100832759, null, /mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-2015061810095938, /mnt/nas/nas2/set72/bucket70/M112E18/M112E18-ch-20150619115447889, false
M104R88, 1504, MS, GEN, 1, 8, 69, round3, true, 3, false, /mnt/nas/nas1/set57/bucket52/M104R88/M104R88-ch-20150616210203213, null, /mnt/nas/nas1/set57/bucket52/M104R88/M104R88-ch-20150616210220267, /mnt/nas/nas1/set57/bucket52/M104R88/M104R88-ch-20150617201532274, false
M105H64, 1201, GG, GEN, 1, 8, 78.67, round3, true, 3, false, /mnt/nas/nas3/set67/bucket26/M105H64/M105H64-ch-20150617105701029, null, /mnt/nas/nas3/set67/bucket26/M105H64/M105H64-ch-20150617105734255, /mnt/nas/nas3/set67/bucket26/M105H64/M105H64-ch-20150617165006762, false
M111H72, 1601, CY, GEN, 1, 8, 77, round3, true, 3, false, /mnt/nas/nas3/set49/bucket60/M111H72/M111H72-ch-20150617113713375, null, /mnt/nas/nas3/set49/bucket60/M111H72/M111H72-ch-20150617113803829, /mnt/nas/nas3/set49/bucket60/M111H72/M111H72-ch-20150617124036662, false
M102C89, 1504, MS, GEN, 1, 9, 66.67, round3, true, 3, false, /mnt/nas/nas3/set89/bucket13/M102C89/M102C89-ch-20150616205447343, null, /mnt/nas/nas3/set89/bucket13/M102C89/M102C89-ch-20150616205436546, /mnt/nas/nas3/set89/bucket13/M102C89/M102C89-ch-20150619204758899, false
M116H70, 1201, GG, GEN, 1, 9, 78, round3, true, 3, false, /mnt/nas/nas1/set42/bucket74/M116H70/M116H70-ch-20150616145432319, null, /mnt/nas/nas1/set42/bucket74/M116H70/M116H70-ch-20150616152555839, /mnt/nas/nas1/set42/bucket74/M116H70/M116H70-ch-20150618160259658, false
M112U75, 1204, BT, GEN, 1, 9, 42, round3, true, 3, false, /mnt/nas/nas2/set32/bucket52/M112U75/M112U75-ch-20150617110354363, null, /mnt/nas/nas2/set32/bucket52/M112U75/M112U75-ch-20150617110446165, /mnt/nas/nas2/set32/bucket52/M112U75/M112U75-ch-20150617133800638, false
M106U10, 1206, MA, GEN, 1, 9, 61.33, round3, false, 3, false, /mnt/nas/nas3/set83/bucket58/M106U10/M106U10-ch-20150616143545135, null, null, /mnt/nas/nas3/set83/bucket58/M106U10/M106U10-ch-20150617111037265, false
M103W69, 1102, CY, GEN, 1, 9, 76.33, round3, false, 3, false, /mnt/nas/nas3/set59/bucket66/M103W69/M103W69-ch-20150617160038926, null, null, /mnt/nas/nas3/set59/bucket66/M103W69/M103W69-ch-20150618105812678, false
M101G54, 1206, MA, GEN, 2, 10, 60.33, round3, false, 3, false, /mnt/nas/nas2/set19/bucket82/M101G54/M101G54-ch-20150616141841601, null, null, /mnt/nas/nas2/set19/bucket82/M101G54/M101G54-ch-20150617124509939, false
M111U88, 1204, BT, GEN, 3, 10, 41.67, round3, true, 3, false, /mnt/nas/nas3/set95/bucket55/M111U88/M111U88-ch-20150617181220354, null, /mnt/nas/nas3/set95/bucket55/M111U88/M111U88-ch-20150617181253664, /mnt/nas/nas3/set95/bucket55/M111U88/M111U88-ch-20150618123332841, false
M101Y56, 1203, MS, GEN, 1, 10, 63.67, round3, true, 3, false, /mnt/nas/nas3/set63/bucket94/M101Y56/M101Y56-ch-2015061723424581, null, /mnt/nas/nas3/set63/bucket94/M101Y56/M101Y56-ch-20150617234252189, /mnt/nas/nas3/set63/bucket94/M101Y56/M101Y56-ch-20150618181534184, false
M105H65, 1201, GG, GEN, 1, 10, 77.33, round3, true, 3, false, /mnt/nas/nas2/set63/bucket98/M105H65/M105H65-ch-20150617112055039, null, /mnt/nas/nas2/set63/bucket98/M105H65/M105H65-ch-20150617112127771, /mnt/nas/nas2/set63/bucket98/M105H65/M105H65-ch-20150617120944155, false
M107X27, 1501, CY, GEN, 1, 10, 75.67, round3, true, 3, false, /mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-2015061710090835, null, /mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-20150617100724882, /mnt/nas/nas3/set80/bucket61/M107X27/M107X27-ch-20150618133128326, false
M110T93, 1501, CY, GEN, 1, 11, 75, round3, true, 4, true, /mnt/nas/nas3/set21/bucket63/M110T93/M110T93-ch-20150617142544112, /mnt/nas/nas3/set21/bucket63/M110T93/M110T93-ch-20150617143612376, /mnt/nas/nas3/set21/bucket63/M110T93/M110T93-ch-20150617142623024, /mnt/nas/nas3/set21/bucket63/M110T93/M110T93-ch-20150618191910312, false
